Release 7.1i - Fit H.42
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 7- 3-2009  3:00PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  graduation.ngd
output file: graduation_pad.csv
Part type:   xc95144xl
Speed grade: -5
Package:     tq144

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,VCC,,VCCIO,,,,,,,,,,
P2,TIE,,I/O/GTS3,,,,,,,,,,
P3,mst_rst,O,I/O/GTS4,OUTPUT,,,,,,,,,
P4,TIE,,I/O,,,,,,,,,,
P5,TIE,,I/O/GTS1,,,,,,,,,,
P6,a<4>,O,I/O/GTS2,OUTPUT,,,,,,,,,
P7,d<0>,O,I/O,OUTPUT,,,,,,,,,
P8,VCC,,VCCINT,,,,,,,,,,
P9,a<5>,O,I/O,OUTPUT,,,,,,,,,
P10,d<2>,O,I/O,OUTPUT,,,,,,,,,
P11,TIE,,I/O,,,,,,,,,,
P12,a<2>,O,I/O,OUTPUT,,,,,,,,,
P13,d<4>,O,I/O,OUTPUT,,,,,,,,,
P14,a<3>,O,I/O,OUTPUT,,,,,,,,,
P15,d<6>,O,I/O,OUTPUT,,,,,,,,,
P16,a<0>,O,I/O,OUTPUT,,,,,,,,,
P17,d<7>,O,I/O,OUTPUT,,,,,,,,,
P18,GND,,GND,,,,,,,,,,
P19,a<1>,O,I/O,OUTPUT,,,,,,,,,
P20,TIE,,I/O,,,,,,,,,,
P21,d<5>,O,I/O,OUTPUT,,,,,,,,,
P22,TIE,,I/O,,,,,,,,,,
P23,d<3>,O,I/O,OUTPUT,,,,,,,,,
P24,TIE,,I/O,,,,,,,,,,
P25,d<1>,O,I/O,OUTPUT,,,,,,,,,
P26,wrb,O,I/O,OUTPUT,,,,,,,,,
P27,TIE,,I/O,,,,,,,,,,
P28,TIE,,I/O,,,,,,,,,,
P29,GND,,GND,,,,,,,,,,
P30,TIE,,I/O/GCK1,,,,,,,,,,
P31,io_ud,O,I/O,OUTPUT,,,,,,,,,
P32,fsk,O,I/O/GCK2,OUTPUT,,,,,,,,,
P33,TIE,,I/O,,,,,,,,,,
