what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"4",1498364974709
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1498364974709
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1498364974709
java.specification.name,sysinfo,,,"Java Platform API Specification",1498364974709
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1498364974709
java.specification.version,sysinfo,,,"1.6",1498364974709
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1498364974709
java.version,sysinfo,,,"1.6.0_23",1498364974709
java.vm.info,sysinfo,,,"mixed mode",1498364974709
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1498364974709
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1498364974709
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1498364974709
java.vm.specification.version,sysinfo,,,"1.0",1498364974709
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1498364974709
java.vm.version,sysinfo,,,"19.0-b09",1498364974709
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1498364974755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498365073886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498365076404
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498365081188
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498365084614
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498365086048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498365094083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498365095670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498365098451
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1498365101714
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1498365102069
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498365102092
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1498365104849
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498365109724
activated,view,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.CView",1498365133274
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1498365138098
activated,view,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.CView",1498365143068
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1498365148717
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1498365148792
