what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1498965342549
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1498965342549
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1498965342549
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1498965342550
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1498965342551
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1498965342551
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1498965342551
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1498965342552
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1498965342552
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1498965342552
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1498965342553
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1498965342553
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1498965342554
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1498965342554
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1498965342554
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1498965342555
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1498965342555
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1498965342555
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1498965342555
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1498965342556
os,sysinfo,,,"win32",1498965342558
arch,sysinfo,,,"x86",1498965342558
ws,sysinfo,,,"win32",1498965342558
locale,sysinfo,,,"zh_CN",1498965342558
processors,sysinfo,,,"4",1498965342558
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1498965342558
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1498965342558
java.specification.name,sysinfo,,,"Java Platform API Specification",1498965342558
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1498965342558
java.specification.version,sysinfo,,,"1.6",1498965342558
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1498965342558
java.version,sysinfo,,,"1.6.0_23",1498965342558
java.vm.info,sysinfo,,,"mixed mode",1498965342558
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1498965342558
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1498965342558
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1498965342558
java.vm.specification.version,sysinfo,,,"1.0",1498965342558
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1498965342558
java.vm.version,sysinfo,,,"19.0-b09",1498965342558
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1498965343410
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1498965344815
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498965347939
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498966253010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498966255471
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498966256889
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1498966257044
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498966257097
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1498966257832
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1498966257927
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1498966261150
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1498966261151
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1498966261151
stopped,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1498966261161
stopped,bundle,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui",1498966261161
stopped,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1498966261161
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1498966261161
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1498966261161
