what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1498310414182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310414495
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310418047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310436499
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310439989
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1498310442491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310442800
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310445258
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1498310448911
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1498310448955
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1498310448958
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1498310448982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310455051
error,log,,,"Unable to validate connection settings.",1498310455786
error,log,,,"Unable to validate connection settings.",1498310455790
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310458785
activated,view,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.CView",1498310460987
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1498310461394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310474424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310490200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310491890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310496336
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310498046
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310498187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310500042
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310510073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310510108
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310525290
started,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1498310528307
started,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1498310529518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310529665
error,log,,,"Unable to validate connection settings.",1498310532209
error,log,,,"Unable to validate connection settings.",1498310532211
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310566747
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1498310566763
error,log,,,"Unable to validate connection settings.",1498310574983
error,log,,,"Unable to validate connection settings.",1498310574985
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310575031
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310578763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310582025
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310582178
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310583475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310583608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310585351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310590695
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1498310593162
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1498310594027
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1498310594748
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310595101
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310598559
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310602473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310624321
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1498310624338
opened,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1498310626284
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1498310626502
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1498310626511
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1498310626512
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1498310626513
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1498310626524
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1498310644075
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1498310662314
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1498310709942
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1498310710891
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1498310712002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310712318
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310715653
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1498310719599
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1498310720601
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1498310723688
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1498310743416
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1498310746909
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1498310747970
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310748363
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310751676
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1498310755536
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1498310756449
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1498310759615
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1498310762376
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1498310783066
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1498310783762
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310784141
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310787477
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1498310791200
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1498310792131
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1498310795266
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1498310804449
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310831451
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310844905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310845060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498310846394
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1498310846555
